chinese,english,source,refs_list
促膝谈心,having a heart-to-heart conversation while sitting close together and leaning on one's knees,JSON,"[""having a heart-to-heart conversation while sitting close together and leaning on one's knees""]"
俗不可耐,unable to withstand commonplace or vulgar things,JSON,['unable to withstand commonplace or vulgar things']
信步闲游,to take a leisurely stroll,JSON,['to take a leisurely stroll']
信马由缰,"to act freely and without restraint, not being tied down by any rules or constraints",JSON,"['to act freely and without restraint, not being tied down by any rules or constraints']"
信口开河,speaking without thinking; talking nonsense,JSON,"['speaking without thinking', 'talking nonsense']"
信口雌黄,talking nonsense or spreading rumors without any basis,JSON,['talking nonsense or spreading rumors without any basis']
信誓旦旦,swear firmly and resolutely,JSON,['swear firmly and resolutely']
信手拈来,easily and effortlessly obtain or accomplish something,JSON,['easily and effortlessly obtain or accomplish something']
信赏必罚,rewarding those who deserve it and punishing those who deserve it,JSON,['rewarding those who deserve it and punishing those who deserve it']
信而有征,tangible evidence or indications to support one's belief or claim,JSON,"[""tangible evidence or indications to support one's belief or claim""]"
修旧利废,to repair the old and discard the useless,JSON,['to repair the old and discard the useless']
俯拾即是,able to readily pick up or obtain something; something is so clearly evident that it requires no effort to grasp or understand,JSON,"['able to readily pick up or obtain something', 'something is so clearly evident that it requires no effort to grasp or understand']"
俯首帖耳,to listen attentively and obediently,JSON,['to listen attentively and obediently']
俯首听命,to bow one's head and obey orders,JSON,"[""to bow one's head and obey orders""]"
俯仰之间,within a short period of time,JSON,['within a short period of time']
俯仰由人,Depend on others for one's fate,JSON,"[""depend on others for one's fate""]"
倒背如流,"to be able to recite or remember something effortlessly and fluently, even if it is recited or remembered backwards",JSON,"['to be able to recite or remember something effortlessly and fluently, even if it is recited or remembered backwards']"
倒打一耙,to turn the tables; to counterattack in a situation where one is usually on the defensive,JSON,"['to turn the tables', 'to counterattack in a situation where one is usually on the defensive']"
倒果为因,"to reverse cause and effect, to mistake the consequence for the cause",JSON,"['to reverse cause and effect, to mistake the consequence for the cause']"
倒行逆施,act in a way that goes against the normal or expected course,JSON,['act in a way that goes against the normal or expected course']
倚老卖老,Using age and seniority to gain unfair advantages or special treatment,JSON,['using age and seniority to gain unfair advantages or special treatment']
倚官仗势,relying on one's official position and authority; also refers to using one's power or influence to bully or oppress others,JSON,"[""relying on one's official position and authority"", ""also refers to using one's power or influence to bully or oppress others""]"
借刀杀人,to have someone else do the dirty work for oneself,JSON,['to have someone else do the dirty work for oneself']
借题发挥,to take advantage of a topic to express one's own ideas or opinions,JSON,"[""to take advantage of a topic to express one's own ideas or opinions""]"
借古讽今,using historical events or figures to criticize and satirize current situations or people,JSON,['using historical events or figures to criticize and satirize current situations or people']
借花献佛,to offer something to the person who already has it,JSON,['to offer something to the person who already has it']
借尸还魂,to resurrect a dead body using another corpse; to make a comeback using someone else's help,JSON,"['to resurrect a dead body using another corpse', ""to make a comeback using someone else's help""]"
偃旗息鼓,"to retreat and remain silent, to stop all activities",JSON,"['to retreat and remain silent, to stop all activities']"
偃武修文,Abandoning military power and focusing on cultural and academic pursuits,JSON,['abandoning military power and focusing on cultural and academic pursuits']
假公济私,seek personal gain under the guise of public service,JSON,['seek personal gain under the guise of public service']
假仁假义,"pretending to be righteous and virtuous, but actually being hypocritical",JSON,"['pretending to be righteous and virtuous, but actually being hypocritical']"
偏听偏信,having a biased view and believing only what one wants to hear,JSON,['having a biased view and believing only what one wants to hear']
做一天和尚撞一天钟,"pretending to be someone or something that one is not, only for a short period of time",JSON,"['pretending to be someone or something that one is not, only for a short period of time']"
停滞不前,to be stagnant or not making any progress,JSON,['to be stagnant or not making any progress']
侧目而视,looking at someone with disdain or suspicion from the corner of one's eye,JSON,"[""looking at someone with disdain or suspicion from the corner of one's eye""]"
偶一为之,occasionally doing something for the sake of enjoyment or gratification,JSON,['occasionally doing something for the sake of enjoyment or gratification']
偷偷摸摸,doing something secretly or stealthily,JSON,['doing something secretly or stealthily']
偷天换日,"to replace the day with night, to swap day and night",JSON,"['to replace the day with night, to swap day and night']"
偷梁换柱,to secretly substitute one thing for another; also refers to cheating or deceiving others by using deceptive means,JSON,"['to secretly substitute one thing for another', 'also refers to cheating or deceiving others by using deceptive means']"
偷工减料,"""cutting corners"" or ""using inferior materials""",JSON,"['cutting corners', 'using inferior materials']"
偷鸡不成蚀把米,trying to gain something dishonestly but ending up losing what one already has,JSON,['trying to gain something dishonestly but ending up losing what one already has']
偷鸡摸狗,stealing chickens and touching dogs,JSON,['stealing chickens and touching dogs']
傍人门户,to rely on someone else's power or influence,JSON,"[""to rely on someone else's power or influence""]"
债台高筑,accumulate a large amount of debt,JSON,['accumulate a large amount of debt']
伤风败俗,corrupting and undermining traditional customs and values,JSON,['corrupting and undermining traditional customs and values']
伤天害理,"unreasonably and outrageously harmful, going against morality and justice",JSON,"['unreasonably and outrageously harmful, going against morality and justice']"
倾盆大雨,heavy rain pouring down in torrents,JSON,['heavy rain pouring down in torrents']
倾家荡产,lose all of one's wealth or property,JSON,"[""lose all of one's wealth or property""]"
倾箱倒箧,"Emptying one's storeroom, revealing all one's secrets or treasures",JSON,"[""emptying one's storeroom, revealing all one's secrets or treasures""]"
倾巢出犯,making a concerted effort to apprehend criminals; mobilizing all available resources to catch the offenders,JSON,"['making a concerted effort to apprehend criminals', 'mobilizing all available resources to catch the offenders']"
倾城倾国,"an extremely beautiful woman, captivating and irresistible",JSON,"['an extremely beautiful woman, captivating and irresistible']"
侥幸取胜,to win by a stroke of luck or by a narrow margin,JSON,['to win by a stroke of luck or by a narrow margin']
价廉物美,good quality and low price,JSON,['good quality and low price']
价值连城,extremely valuable and precious,JSON,['extremely valuable and precious']
傻头傻脑,simple-minded; foolish; naive,JSON,"['simple-minded', 'foolish', 'naive']"
优胜劣败,sorting the good from the bad; distinguishing between the superior and the inferior; identifying the winners and losers,JSON,"['sorting the good from the bad', 'distinguishing between the superior and the inferior', 'identifying the winners and losers']"
优柔寡断,"indecisive, unable to make up one's mind",JSON,"[""indecisive, unable to make up one's mind""]"
优哉游哉,leisurely and carefree; living a pleasant and relaxed life,JSON,"['leisurely and carefree', 'living a pleasant and relaxed life']"
兄弟阋于墙,brothers fight at the wall,JSON,['brothers fight at the wall']
兄弟阋于墙，外御其侮,"Brothers fight against each other, but unite when facing external insults",JSON,"['brothers fight against each other, but unite when facing external insults']"
充耳不闻,turn a deaf ear,JSON,['turn a deaf ear']
先发制人,to take the initiative and make pre-emptive strikes,JSON,['to take the initiative and make pre-emptive strikes']
先睹为快,to see something in advance for one's own pleasure,JSON,"[""to see something in advance for one's own pleasure""]"
先天不足,innate deficiency,JSON,['innate deficiency']
先天下之忧而忧，后天下之乐而乐,Worrying about the world's problems before enjoying personal happiness.,JSON,"[""worrying about the world's problems before enjoying personal happiness.""]"
先礼后兵,seek peaceful means before resorting to war,JSON,['seek peaceful means before resorting to war']
先见之明,foreknowledge; the ability to foresee or predict things before they happen,JSON,"['foreknowledge', 'the ability to foresee or predict things before they happen']"
先下手为强,Taking action first to gain an advantage or be in a better position,JSON,['taking action first to gain an advantage or be in a better position']
先知先觉,"having superior insight or awareness, being able to predict or anticipate things ahead of time",JSON,"['having superior insight or awareness, being able to predict or anticipate things ahead of time']"
先斩后奏,taking impulsive or hasty actions without seeking approval or permission first,JSON,['taking impulsive or hasty actions without seeking approval or permission first']
先声夺人,Take the initiative and gain an advantage by being the first to act or speak,JSON,['take the initiative and gain an advantage by being the first to act or speak']
先入之见,preconceived notion,JSON,['preconceived notion']
先入为主,to be influenced by initial impressions or preconceived notions,JSON,['to be influenced by initial impressions or preconceived notions']
先务之急,deal with the most urgent matter first,JSON,['deal with the most urgent matter first']
光芒万丈,"brilliant and dazzling; refers to someone's talent, achievement, or influence being exceptionally outstanding",JSON,"['brilliant and dazzling', ""refers to someone's talent, achievement, or influence being exceptionally outstanding""]"
光明磊落,upright and honest; open and aboveboard,JSON,"['upright and honest', 'open and aboveboard']"
光明正大,"openly and honestly, without any hidden agenda or wrongdoing",JSON,"['openly and honestly, without any hidden agenda or wrongdoing']"
光复旧物,to restore old items,JSON,['to restore old items']
光天化日,"open and blatant, happening in broad daylight",JSON,"['open and blatant, happening in broad daylight']"
光怪陆离,bizarre and colorful; strange and fantastic,JSON,"['bizarre and colorful', 'strange and fantastic']"
光宗耀祖,"bringing honor to one's ancestors and family, and establishing a great reputation for oneself",JSON,"[""bringing honor to one's ancestors and family, and establishing a great reputation for oneself""]"
光彩夺目,bright and eye-catching,JSON,['bright and eye-catching']
光阴似箭,time flies,JSON,['time flies']
克敌制胜,to defeat the enemy and achieve victory by using clever strategies and tactics,JSON,['to defeat the enemy and achieve victory by using clever strategies and tactics']
克己奉公,to restrain oneself and dedicate oneself to serving the public,JSON,['to restrain oneself and dedicate oneself to serving the public']
克勤克俭,being diligent and frugal,JSON,['being diligent and frugal']
兔子不吃窝边草,Rabbits don't eat the grass by their burrows,JSON,"[""rabbits don't eat the grass by their burrows""]"
兔子尾巴长不了,Luck or success cannot last forever; temporary advantages will eventually disappear,JSON,"['luck or success cannot last forever', 'temporary advantages will eventually disappear']"
兔死狗烹,to take advantage of someone's weakness or misfortune,JSON,"[""to take advantage of someone's weakness or misfortune""]"
兔死狐悲,the fox grieves when the rabbit dies,JSON,['the fox grieves when the rabbit dies']
兢兢业业,meticulous and conscientious,JSON,['meticulous and conscientious']
入不敷出,spending more than one earns,JSON,['spending more than one earns']
入木三分,"penetrate deeply into the subject matter, having a profound understanding",JSON,"['penetrate deeply into the subject matter, having a profound understanding']"
入国问俗,"when in Rome, do as the Romans do",JSON,"['when in rome, do as the romans do']"
入境问禁,to ask for permission or guidance when entering a new environment or situation,JSON,['to ask for permission or guidance when entering a new environment or situation']
入情入理,"empathetic and reasonable, able to understand and relate to someone's feelings and reasoning",JSON,"[""empathetic and reasonable, able to understand and relate to someone's feelings and reasoning""]"
入乡随俗,to follow the customs and traditions of a foreign place when visiting or living there,JSON,['to follow the customs and traditions of a foreign place when visiting or living there']
内忧外患,internal troubles and external threats,JSON,['internal troubles and external threats']
内外交困,a situation where one is in a dilemma or facing difficulties both internally and externally,JSON,['a situation where one is in a dilemma or facing difficulties both internally and externally']
全力以赴,"give one's all, make every effort",JSON,"[""give one's all, make every effort""]"
全军覆没,complete and utter defeat of the entire army,JSON,['complete and utter defeat of the entire army']
全心全意,"wholeheartedly, with complete devotion",JSON,"['wholeheartedly, with complete devotion']"
全神贯注,"concentrating fully, putting all one's attention and focus into something",JSON,"[""concentrating fully, putting all one's attention and focus into something""]"
两败俱伤,both sides suffer damage or loss,JSON,['both sides suffer damage or loss']
两面讨好,"trying to please both sides, being two-faced",JSON,"['trying to please both sides, being two-faced']"
两面三刀,duplicity or treachery; using different strategies or tactics to deceive or exploit others,JSON,"['duplicity or treachery', 'using different strategies or tactics to deceive or exploit others']"
两全其美,"to have the best of both worlds, to achieve a win-win situation",JSON,"['to have the best of both worlds, to achieve a win-win situation']"
两小无猜,"two innocents, having no concerns or doubts about each other",JSON,"['two innocents, having no concerns or doubts about each other']"
两袖清风,"leading a simple and honest life, staying away from corruption and temptations",JSON,"['leading a simple and honest life, staying away from corruption and temptations']"
两厢情愿,mutually willing and consenting,JSON,['mutually willing and consenting']
八面玲珑,"skilled in handling people and situations, adept at navigating various social interactions",JSON,"['skilled in handling people and situations, adept at navigating various social interactions']"
八面威风,imposing and influential in all aspects,JSON,['imposing and influential in all aspects']
八仙过海，各显神通,Each of the Eight Immortals crosses the sea with their own abilities on display,JSON,['each of the eight immortals crosses the sea with their own abilities on display']
公报私仇,to use public power or resources to settle personal grudges,JSON,['to use public power or resources to settle personal grudges']
公诸同好,to make public among like-minded people,JSON,['to make public among like-minded people']
公事公办,dealing with official business in a fair and impartial manner,JSON,['dealing with official business in a fair and impartial manner']
公说公有理，婆说婆有理,"When two parties argue, each believes they are right",JSON,"['when two parties argue, each believes they are right']"
公而忘私,"prioritizing public interests over personal interests, being selfless",JSON,"['prioritizing public interests over personal interests, being selfless']"
六亲不认,"having no recognition of one's own family, showing no acknowledgement or loyalty to family members",JSON,"[""having no recognition of one's own family, showing no acknowledgement or loyalty to family members""]"
六神无主,"to be in a state of extreme fear or confusion, not knowing what to do",JSON,"['to be in a state of extreme fear or confusion, not knowing what to do']"
兵不血刃,to achieve victory without bloodshed,JSON,['to achieve victory without bloodshed']
兵不厌诈,Deception is a necessary strategy in war.,JSON,['deception is a necessary strategy in war.']
兵连祸结,a situation where conflict leads to more problems and disasters,JSON,['a situation where conflict leads to more problems and disasters']
兵临城下,facing imminent danger or crisis,JSON,['facing imminent danger or crisis']
兵贵神速,Speed is of the essence in war; time is of the essence in military matters,JSON,"['speed is of the essence in war', 'time is of the essence in military matters']"
兵荒马乱,chaotic and disorderly; in a state of confusion or turmoil,JSON,"['chaotic and disorderly', 'in a state of confusion or turmoil']"
兵强马壮,having a strong military and powerful forces; being in a strong and advantageous position,JSON,"['having a strong military and powerful forces', 'being in a strong and advantageous position']"
兵戎相见,to meet as enemies on the battlefield,JSON,['to meet as enemies on the battlefield']
其貌不扬,unremarkable appearance or unimpressive looking,JSON,['unremarkable appearance or unimpressive looking']
其乐无穷,endless enjoyment or boundless joy,JSON,['endless enjoyment or boundless joy']
其势汹汹,to appear in a threatening or overwhelming manner,JSON,['to appear in a threatening or overwhelming manner']
其味无穷,never-ending pleasure; having a flavor that is inexhaustible,JSON,"['never-ending pleasure', 'having a flavor that is inexhaustible']"
具体而微,specific and detailed,JSON,['specific and detailed']
兼听则明，偏信则暗,"By listening to multiple perspectives, one gains clarity; by being biased, one becomes ignorant.",JSON,"['by listening to multiple perspectives, one gains clarity', 'by being biased, one becomes ignorant.']"
兼收并蓄,collect and assimilate all the good things from different sources,JSON,['collect and assimilate all the good things from different sources']
兼容并包,"to be inclusive and accommodating, to embrace different ideas and opinions",JSON,"['to be inclusive and accommodating, to embrace different ideas and opinions']"
再接再厉,to continue making great efforts and working hard in order to achieve even better results,JSON,['to continue making great efforts and working hard in order to achieve even better results']
再衰三竭,to decline further and exhaust completely,JSON,['to decline further and exhaust completely']
再三再四,repeatedly; again and again,JSON,"['repeatedly', 'again and again']"
冒名顶替,impersonating someone or taking someone else's place falsely,JSON,"[""impersonating someone or taking someone else's place falsely""]"
冒天下之大不韪,"boldly defy a great injustice, disregard the consequences",JSON,"['boldly defy a great injustice, disregard the consequences']"
冠冕堂皇,"grand and splendid on the surface, but actually hypocritical or deceptive",JSON,"['grand and splendid on the surface, but actually hypocritical or deceptive']"
冤家路窄,having a narrow road with one's enemy,JSON,"[""having a narrow road with one's enemy""]"
冥思苦想,to think deeply and ponder over something with great effort and difficulty,JSON,['to think deeply and ponder over something with great effort and difficulty']
冥顽不灵,"stubborn and unyielding, unwilling to listen or learn",JSON,"['stubborn and unyielding, unwilling to listen or learn']"
冰冻三尺，非一日之寒,a problem or situation that has developed over a long period of time and cannot be solved immediately,JSON,['a problem or situation that has developed over a long period of time and cannot be solved immediately']
冰炭不相容,two things that are completely incompatible or cannot coexist together,JSON,['two things that are completely incompatible or cannot coexist together']
冰天雪地,"extremely cold weather, often used to describe harsh and challenging conditions",JSON,"['extremely cold weather, often used to describe harsh and challenging conditions']"
冰消瓦解,"to completely disappear or dissolve, just like ice melting and tiles breaking",JSON,"['to completely disappear or dissolve, just like ice melting and tiles breaking']"
冷嘲热讽,mocking and ridiculing with sarcasm and irony,JSON,['mocking and ridiculing with sarcasm and irony']
冷若冰霜,being cold and distant,JSON,['being cold and distant']
冷眼旁观,watching coldly from the sidelines,JSON,['watching coldly from the sidelines']
冷言冷语,sarcastic and cold remarks,JSON,['sarcastic and cold remarks']
凡事预则立，不预则废,"Make preparations in advance, or lose the opportunity",JSON,"['make preparations in advance, or lose the opportunity']"
凯旋归来,returning triumphantly,JSON,['returning triumphantly']
凶多吉少,More bad luck than good luck,JSON,['more bad luck than good luck']
凶相毕露,revealing one's true evil nature,JSON,"[""revealing one's true evil nature""]"
凶神恶煞,looking fierce and menacing,JSON,['looking fierce and menacing']
出没无常,"unpredictable or erratic, appearing and disappearing without a fixed pattern",JSON,"['unpredictable or erratic, appearing and disappearing without a fixed pattern']"
出谋划策,giving wise advice and making strategic plans,JSON,['giving wise advice and making strategic plans']
出头露面,to make a public appearance after a period of hiding or absence,JSON,['to make a public appearance after a period of hiding or absence']
出类拔萃,stand out from the rest; be exceptionally outstanding,JSON,"['stand out from the rest', 'be exceptionally outstanding']"
出乖露丑,to reveal one's true nature and expose one's flaws,JSON,"[""to reveal one's true nature and expose one's flaws""]"
出口成章,speaking fluently and eloquently; to express oneself clearly and articulately,JSON,"['speaking fluently and eloquently', 'to express oneself clearly and articulately']"
出其不意,"unexpectedly, by surprise",JSON,"['unexpectedly, by surprise']"
出奇制胜,gaining victory by using unexpected or unconventional methods,JSON,['gaining victory by using unexpected or unconventional methods']
出神入化,reaching a level of skill or mastery to the point of being mesmerizing; performing with such brilliance that it appears almost supernatural,JSON,"['reaching a level of skill or mastery to the point of being mesmerizing', 'performing with such brilliance that it appears almost supernatural']"
出生入死,willing to risk one's life and face death,JSON,"[""willing to risk one's life and face death""]"
出人头地,"to stand out or excel among others, to achieve success or fame",JSON,"['to stand out or excel among others, to achieve success or fame']"
出人意表,"unexpected, beyond expectations",JSON,"['unexpected, beyond expectations']"
出尔反尔,to go back on one's word,JSON,"[""to go back on one's word""]"
出言不逊,speak disrespectfully,JSON,['speak disrespectfully']
刀耕火种,working hard in the fields; also refers to the basics of farming and agriculture,JSON,"['working hard in the fields', 'also refers to the basics of farming and agriculture']"
刀光剑影,scenes of intense fighting; also refers to a situation full of danger or uncertainty,JSON,"['scenes of intense fighting', 'also refers to a situation full of danger or uncertainty']"
刀山火海,going through extremely dangerous and difficult situations,JSON,['going through extremely dangerous and difficult situations']
刁钻古怪,being cunning and eccentric,JSON,['being cunning and eccentric']
分崩离析,to fall apart or disintegrate; refers to a group or organization breaking up or disintegrating,JSON,"['to fall apart or disintegrate', 'refers to a group or organization breaking up or disintegrating']"
分门别类,classify and categorize,JSON,['classify and categorize']
分秒必争,time is of the essence; every second counts,JSON,"['time is of the essence', 'every second counts']"
分庭抗礼,"to treat someone as an equal and show respect, rather than being submissive or subservient",JSON,"['to treat someone as an equal and show respect, rather than being submissive or subservient']"
分路扬镳,to part ways and go separate paths,JSON,['to part ways and go separate paths']
切肤之痛,"an extremely painful feeling, as if the skin is being cut",JSON,"['an extremely painful feeling, as if the skin is being cut']"
切齿痛恨,"to hate someone or something bitterly, to have a strong and deep-seated hatred",JSON,"['to hate someone or something bitterly, to have a strong and deep-seated hatred']"
切磋琢磨,"to discuss and exchange ideas, to learn from each other",JSON,"['to discuss and exchange ideas, to learn from each other']"
刎颈之交,a friendship so close that one is willing to sacrifice one's life for the other,JSON,"[""a friendship so close that one is willing to sacrifice one's life for the other""]"
初露锋芒,to show one's talent or abilities for the first time,JSON,"[""to show one's talent or abilities for the first time""]"
初出茅庐,being inexperienced and new to a field or task,JSON,['being inexperienced and new to a field or task']
初生之犊不怕虎,A young calf is not afraid of tigers; used to describe someone who is ignorant of danger due to lack of experience,JSON,"['a young calf is not afraid of tigers', 'used to describe someone who is ignorant of danger due to lack of experience']"
删繁就简,simplifying by removing the unnecessary,JSON,['simplifying by removing the unnecessary']
判若云泥,to be vastly different or distinctly separate from each other,JSON,['to be vastly different or distinctly separate from each other']
别开生面,to do something in a unique and original way,JSON,['to do something in a unique and original way']
别具一格,having a unique or distinctive style,JSON,['having a unique or distinctive style']
别树一帜,"""to stand out from the crowd"" or ""to have a unique approach or style""",JSON,"['to stand out from the crowd', 'to have a unique approach or style']"
别出心裁,to come up with a unique or creative idea or approach,JSON,['to come up with a unique or creative idea or approach']
别有天地,"a world of its own, being unique and different from the ordinary",JSON,"['a world of its own, being unique and different from the ordinary']"
别有用心,to have ulterior motives,JSON,['to have ulterior motives']
别无长物,nothing else; only this one thing,JSON,"['nothing else', 'only this one thing']"
利令智昏,being driven by personal interests to the point of losing the ability to think rationally,JSON,['being driven by personal interests to the point of losing the ability to think rationally']
利害攸关,of vital importance; being crucial to the situation,JSON,"['of vital importance', 'being crucial to the situation']"
利欲熏心,"Driven by greed and desire, having one's mind clouded by selfishness and materialistic pursuits",JSON,"[""driven by greed and desire, having one's mind clouded by selfishness and materialistic pursuits""]"
刮目相看,to look at someone with new eyes; to have a higher opinion of someone,JSON,"['to look at someone with new eyes', 'to have a higher opinion of someone']"
到什么山唱什么歌,adapt one's words or actions to the situation at hand,JSON,"[""adapt one's words or actions to the situation at hand""]"
刺刺不休,relentlessly criticizing or attacking someone,JSON,['relentlessly criticizing or attacking someone']
刻不容缓,urgent and cannot be delayed,JSON,['urgent and cannot be delayed']
刻骨铭心,deeply engraved in one's heart,JSON,"[""deeply engraved in one's heart""]"
刻舟求剑,holding onto an outdated belief or strategy despite changes in circumstances,JSON,['holding onto an outdated belief or strategy despite changes in circumstances']
刻意求工,making great efforts to achieve perfection or craftsmanship,JSON,['making great efforts to achieve perfection or craftsmanship']
削足适履,trying to fit a peg into a hole too small for it,JSON,['trying to fit a peg into a hole too small for it']
前怕狼，后怕虎,"""fearful and indecisive"" or ""having a strong fear and hesitation""",JSON,"['fearful and indecisive', 'having a strong fear and hesitation']"
前仆后继,succeeding each other in a continuous and unbroken sequence,JSON,['succeeding each other in a continuous and unbroken sequence']
前门拒虎，后门进狼,"out of the mouth of the tiger, into the mouth of the wolf",JSON,"['out of the mouth of the tiger, into the mouth of the wolf']"
前途无量,a future with limitless potential,JSON,['a future with limitless potential']
前功尽弃,to abandon or waste all previous achievements,JSON,['to abandon or waste all previous achievements']
前呼后拥,crowd around and follow closely,JSON,['crowd around and follow closely']
前倨后恭,"Being arrogant and rude initially, but humble and respectful later",JSON,"['being arrogant and rude initially, but humble and respectful later']"
前车之覆，后车之鉴,The overturned cart serves as a lesson for the following carts; a warning based on others' mistakes,JSON,"['the overturned cart serves as a lesson for the following carts', ""a warning based on others' mistakes""]"
前车之鉴,lesson learned from the past,JSON,['lesson learned from the past']
前前后后,back and forth; repeatedly,JSON,"['back and forth', 'repeatedly']"
前事不忘，后事之师,The experience of the past serves as a lesson for the future.,JSON,['the experience of the past serves as a lesson for the future.']
前人栽树，后人乘凉,"The past generation planted trees, and the later generation enjoys their shade",JSON,"['the past generation planted trees, and the later generation enjoys their shade']"
前思后想,pondering and reflecting on something in retrospect,JSON,['pondering and reflecting on something in retrospect']
前所未有,"unprecedented, never seen or experienced before",JSON,"['unprecedented, never seen or experienced before']"
前所未闻,something that has never been heard of or seen before,JSON,['something that has never been heard of or seen before']
前因后果,cause and effect; the relationship between an action or event and its consequences,JSON,"['cause and effect', 'the relationship between an action or event and its consequences']"
前无古人,a phenomenon or achievement that has never existed or been seen before in history,JSON,['a phenomenon or achievement that has never existed or been seen before in history']
剖腹藏珠,to hide one's talent or true abilities,JSON,"[""to hide one's talent or true abilities""]"
刚愎自用,stubbornly self-willed; refusing to listen to others,JSON,"['stubbornly self-willed', 'refusing to listen to others']"
刚正不阿,"being upright and uncompromising, refusing to yield to pressure or authority",JSON,"['being upright and uncompromising, refusing to yield to pressure or authority']"
剜肉补疮,to worsen a wound in order to heal it; to take drastic measures to solve a problem,JSON,"['to worsen a wound in order to heal it', 'to take drastic measures to solve a problem']"
创巨痛深,to suffer greatly in order to achieve something significant,JSON,['to suffer greatly in order to achieve something significant']
劈头盖脸,"a fierce attack in speech or action, without any consideration for the other party",JSON,"['a fierce attack in speech or action, without any consideration for the other party']"
剑拔弩张,"a situation of tension and hostility, where both sides are prepared for conflict",JSON,"['a situation of tension and hostility, where both sides are prepared for conflict']"
力不胜任,unable to handle a task due to lack of ability or strength,JSON,['unable to handle a task due to lack of ability or strength']
力不从心,unable to live up to one's ambition or desire due to physical or mental limitations,JSON,"[""unable to live up to one's ambition or desire due to physical or mental limitations""]"
力排众议,to go against public opinion and stand firm with one's own beliefs or decisions,JSON,"[""to go against public opinion and stand firm with one's own beliefs or decisions""]"
力争上游,striving to advance and make progress,JSON,['striving to advance and make progress']
力所不及,beyond one's ability,JSON,"[""beyond one's ability""]"
力所能及,within one's power or ability,JSON,"[""within one's power or ability""]"
力挽狂澜,to try to reverse a desperate situation,JSON,['to try to reverse a desperate situation']
功败垂成,a failure just when success is within reach,JSON,['a failure just when success is within reach']
功德无量,to accumulate immeasurable merit and virtue,JSON,['to accumulate immeasurable merit and virtue']
功到自然成,Success will come naturally when one's efforts and skills are sufficient.,JSON,"[""success will come naturally when one's efforts and skills are sufficient.""]"
功亏一篑,to ruin the whole project by neglecting one small detail,JSON,['to ruin the whole project by neglecting one small detail']
劣迹昭著,infamous for one's bad behavior,JSON,"[""infamous for one's bad behavior""]"
助纣为虐,aid and abet someone in doing evil,JSON,['aid and abet someone in doing evil']
助人为乐,finding joy in helping others,JSON,['finding joy in helping others']
劫富济贫,to rob the rich and help the poor,JSON,['to rob the rich and help the poor']
勇冠三军,"brave and outstanding, surpassing all others in military prowess",JSON,"['brave and outstanding, surpassing all others in military prowess']"
勇武逼人,intimidating others with one's bravery and strength,JSON,"[""intimidating others with one's bravery and strength""]"
勇往直前,to courageously move forward without hesitation,JSON,['to courageously move forward without hesitation']
勉为其难,doing something reluctantly or with great difficulty,JSON,['doing something reluctantly or with great difficulty']
动辄得咎,easily getting blamed or criticized for small mistakes or trivial matters,JSON,['easily getting blamed or criticized for small mistakes or trivial matters']
胜败乃兵家之常,Victory and defeat are common in military affairs.,JSON,['victory and defeat are common in military affairs.']
胜不骄，败不馁,remain humble in victory and resilient in defeat,JSON,['remain humble in victory and resilient in defeat']
胜任愉快,capable and enjoyable,JSON,['capable and enjoyable']
劳民伤财,to cause physical and financial harm to the people,JSON,['to cause physical and financial harm to the people']
劳苦功高,hard work leads to great achievements,JSON,['hard work leads to great achievements']
劳而无功,to work hard but achieve no result,JSON,['to work hard but achieve no result']
劳逸结合,balance work and rest,JSON,['balance work and rest']
势不两立,Being in a state where two opposing forces or entities cannot coexist or reconcile,JSON,['being in a state where two opposing forces or entities cannot coexist or reconcile']
势不可挡,a situation or force that is unstoppable or cannot be resisted,JSON,['a situation or force that is unstoppable or cannot be resisted']
势均力敌,"equal in strength or ability, evenly matched",JSON,"['equal in strength or ability, evenly matched']"
势成骑虎,being in a difficult situation where one cannot advance or retreat,JSON,['being in a difficult situation where one cannot advance or retreat']
势如破竹,making rapid progress and achieving victory effortlessly,JSON,['making rapid progress and achieving victory effortlessly']
势在必行,inevitable and must be done; refers to a situation or task that must be carried out without any other alternatives,JSON,"['inevitable and must be done', 'refers to a situation or task that must be carried out without any other alternatives']"
势焰熏天,a situation where someone's power and influence are growing rapidly and becoming overwhelming,JSON,"[""a situation where someone's power and influence are growing rapidly and becoming overwhelming""]"
励精图治,to strive for excellence and govern with determination,JSON,['to strive for excellence and govern with determination']
勿谓言之不预也,do not say that it was not given in advance (warning or notice),JSON,"['do not say that it was not given in advance ,warning or notice']"
包罗万象,encompassing everything; including all aspects or categories,JSON,"['encompassing everything', 'including all aspects or categories']"
包藏祸心,to hide evil intentions,JSON,['to hide evil intentions']
化险为夷,turning a dangerous situation into a safe one,JSON,['turning a dangerous situation into a safe one']
化整为零,"divide a whole or a larger task into smaller, more manageable parts",JSON,"['divide a whole or a larger task into smaller, more manageable parts']"
化为灰烬,to be reduced to ashes,JSON,['to be reduced to ashes']
化为乌有,becoming completely useless or irrelevant; no longer exists or has any effect,JSON,"['becoming completely useless or irrelevant', 'no longer exists or has any effect']"
匪夷所思,extremely strange and incomprehensible,JSON,['extremely strange and incomprehensible']
匹夫之勇,bravery of a common man,JSON,['bravery of a common man']
匹夫有责,Every individual has a responsibility,JSON,['every individual has a responsibility']
